Designator,Mid X,Mid Y,Side,Rotation
C1,168,-84.8,top,90
C2,168,-86.7,top,-90
C3,167.2,-90.22,top,-90
C4,167.2,-92.18,top,90
C5,143.7,-75.7,top,0
C6,136.1,-86.3,top,0
C7,127.48,-86.99,top,-90
C8,145,-92.95,top,-90
C9,149.25,-78.18,top,90
C10,147.75,-78.6,top,0
C11,159.7,-97.3,top,180
C12,138.5,-96.9,top,-90
C13,164.5,-82.5,top,0
C14,146.2,-95.5,top,-90
C15,139.7,-71.675,top,90
C16,133.3,-96.1,top,180
C17,128.9,-73.2,top,90
C18,128.9,-76.4,top,90
C19,162.7,-95,top,0
C20,135.8,-69.9,top,0
C21,141.72,-89.85,top,0
C22,156,-67.5,top,180
C23,161.3375,-68.3,top,180
C24,161.3625,-77.1,top,180
C25,152.25,-67.5,top,0
C26,145,-67.75,top,0
D1,153.4,-71.5,top,180
D2,127.25,-70.2,top,0
D3,153.4,-69.2,top,180
D5,128,-79.3,top,0
D6,137,-92.5125,top,90
J1,159.05,-63.75,top,180
J2,151.15,-63.75,top,180
J3,143.1,-63.75,top,180
J4,132.3,-64.41,top,180
J6,165.025,-80.25,top,90
J9,164.915,-71.56,top,0
J10,164.915,-62.66,top,0
J11,147.5,-75.5,top,180
J12,128.1,-107.7,top,0
L1,134.4,-81.9,top,180
Q1,160.8625,-70.9,top,0
Q2,160.8625,-74.5,top,0
Q3,128,-81.9,top,180
R1,163.8,-97.3,top,0
R2,148.3,-97.3,top,0
R3,151.7,-97.3,top,180
R4,126.25,-72.25,top,90
R5,151,-69.7,top,90
R6,151,-72.6,top,90
R8,132,-86.2,top,180
R9,133.3,-69.8,top,180
R10,131.3,-69.8,top,180
R11,129.9,-88.9,top,-90
R12,158.3,-71.3,top,90
R13,157.8,-69.7,top,0
R14,158.3,-75,top,90
R15,157.8,-73.4,top,0
R16,144.2,-81.1,top,-90
SW1,143.2,-71.975,top,-90
U1,133.4,-90.6,top,-90
U2,141.75,-94.1,top,-90
U3,142.295,-85.5,top,-90
U4,134.3,-74.3,top,0
U7,154.2,-87.9,top,180
X1,165.725,-85.8,top,90
X2,165.5,-91.2,top,90