Designator,Mid X,Mid Y,Rotation,Layer
C1,168,-84.8,90,top
C10,147.75,-78.6,0,top
C11,159.7,-97.3,180,top
C12,138.5,-96.9,270,top
C13,164.5,-82.5,0,top
C14,146.2,-95.5,270,top
C15,139.7,-71.675,90,top
C16,133.3,-96.1,180,top
C17,128.9,-73.2,90,top
C18,128.9,-76.4,90,top
C19,162.7,-95,0,top
C2,168,-86.7,270,top
C20,135.8,-69.9,0,top
C21,141.72,-89.85,0,top
C22,156,-67.5,180,top
C23,161.3375,-68.3,180,top
C24,161.3625,-77.1,180,top
C25,152.25,-67.5,0,top
C26,145,-67.75,0,top
C3,167.2,-90.22,270,top
C4,167.2,-92.18,90,top
C5,143.7,-75.7,0,top
C6,136.1,-86.3,0,top
C7,127.48,-86.99,90,top
C8,145,-92.95,270,top
C9,149.25,-78.18,90,top
D1,153.4,-71.5,180,top
D2,127.25,-70.2,0,top
D3,153.4,-69.2,180,top
D5,128,-79.3,0,top
D6,137,-92.5125,90,top
J1,159.05,-63.75,180,top
J2,151.15,-63.75,180,top
J3,143.1,-63.75,180,top
J4,132.3,-64.41,180,top
L1,134.4,-81.9,180,top
Q1,160.8625,-70.9,180,top
Q2,160.8625,-74.5,180,top
Q3,128,-81.9,0,top
R1,163.8,-97.3,0,top
R10,131.3,-69.8,180,top
R11,129.9,-88.9,270,top
R12,158.3,-71.3,90,top
R13,157.8,-69.7,0,top
R14,158.3,-75,90,top
R15,157.8,-73.4,0,top
R16,144.2,-81.1,270,top
R17,161.68,-79.37,0,top
R18,167.54,-82.58,0,top
R2,148.3,-97.3,0,top
R3,151.7,-97.3,180,top
R4,126.25,-72.25,90,top
R5,151,-69.7,90,top
R6,151,-72.6,90,top
R8,132,-86.2,180,top
R9,133.3,-69.8,180,top
SW1,143.2,-71.975,270,top
U1,133.4,-90.6,270,top
U2,141.75,-94.1,180,top
U3,142.295,-85.5,270,top
U4,134.3,-74.3,180,top
U7,154.2,-87.9,90,top
X1,165.725,-85.8,90,top
X2,165.5,-91.2,90,top